target,horizon,method,error_method,source,score
ngdp_rpch,0,rolling window,absolute,IMF,0.231448824705703
ngdp_rpch,0.5,rolling window,absolute,IMF,0.421797319866645
ngdp_rpch,1,rolling window,absolute,IMF,0.976207395606696
ngdp_rpch,1.5,rolling window,absolute,IMF,1.25634449535359
pcpi_pch,0,rolling window,absolute,IMF,0.137424719168123
pcpi_pch,0.5,rolling window,absolute,IMF,0.292506997250235
pcpi_pch,1,rolling window,absolute,IMF,0.588537251322055
pcpi_pch,1.5,rolling window,absolute,IMF,0.637304523520384
ngdp_rpch,0,rolling window,absolute,ar,0.339067180411134
ngdp_rpch,0.5,rolling window,absolute,ar,0.598513614537569
ngdp_rpch,1,rolling window,absolute,ar,1.2650174996542
ngdp_rpch,1.5,rolling window,absolute,ar,1.51173353608547
pcpi_pch,0,rolling window,absolute,ar,0.14728178791599
pcpi_pch,0.5,rolling window,absolute,ar,0.285073797209694
pcpi_pch,1,rolling window,absolute,ar,0.77239943428042
pcpi_pch,1.5,rolling window,absolute,ar,1.14238853649354
ngdp_rpch,0,rolling window,absolute,bvar,0.335247172266282
ngdp_rpch,0.5,rolling window,absolute,bvar,0.550377132616835
ngdp_rpch,1,rolling window,absolute,bvar,1.10348374989804
ngdp_rpch,1.5,rolling window,absolute,bvar,1.33463555468165
pcpi_pch,0,rolling window,absolute,bvar,0.150250337590907
pcpi_pch,0.5,rolling window,absolute,bvar,0.303281716311101
pcpi_pch,1,rolling window,absolute,bvar,0.623615571768088
pcpi_pch,1.5,rolling window,absolute,bvar,0.846293211155409
