target,horizon,method,error_method,source,score
ngdp_rpch,0,rolling window,directional,IMF,0.258954160410377
ngdp_rpch,0.5,rolling window,directional,IMF,0.434514781626002
ngdp_rpch,1,rolling window,directional,IMF,0.962380271812561
ngdp_rpch,1.5,rolling window,directional,IMF,1.22594499234235
pcpi_pch,0,rolling window,directional,IMF,0.145786515322881
pcpi_pch,0.5,rolling window,directional,IMF,0.286481153000673
pcpi_pch,1,rolling window,directional,IMF,0.600758734946016
pcpi_pch,1.5,rolling window,directional,IMF,0.652348255922256
ngdp_rpch,0,rolling window,directional,ar,0.340160586128711
ngdp_rpch,0.5,rolling window,directional,ar,0.493369096896675
ngdp_rpch,1,rolling window,directional,ar,0.94242468128975
ngdp_rpch,1.5,rolling window,directional,ar,1.14257234532223
pcpi_pch,0,rolling window,directional,ar,0.14046616477496
pcpi_pch,0.5,rolling window,directional,ar,0.304937266696602
pcpi_pch,1,rolling window,directional,ar,0.640227107216984
pcpi_pch,1.5,rolling window,directional,ar,0.731169609223534
ngdp_rpch,0,rolling window,directional,bvar,0.344538399756927
ngdp_rpch,0.5,rolling window,directional,bvar,0.528592243848201
ngdp_rpch,1,rolling window,directional,bvar,0.903859477328823
ngdp_rpch,1.5,rolling window,directional,bvar,1.14619880668998
pcpi_pch,0,rolling window,directional,bvar,0.137361724378286
pcpi_pch,0.5,rolling window,directional,bvar,0.318220679349444
pcpi_pch,1,rolling window,directional,bvar,0.619486200013297
pcpi_pch,1.5,rolling window,directional,bvar,0.814324143818892
