model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95
IMF,directional,rolling window,ngdp_rpch,0,0.24899551822046,0.0905034653368987,0.0662991209528433,0.0921929319307178,0.0833333333333333,0.2,0.283333333333333,0.333333333333333,0.45,0.516666666666667,0.616666666666667,0.666666666666667,0.766666666666667,0.133333333333333,0.2,0.2,0.233333333333333,0.283333333333333,0.4,0.433333333333333,0.433333333333333,0.516666666666667,0.6,0.633333333333333,0.716666666666667,0.733333333333333,0.733333333333333,0.75,0.816666666666667,0.866666666666667,0.9
IMF,directional,rolling window,ngdp_rpch,0.5,0.418837104734779,0.165189739810848,0.115786707669805,0.137860657254126,0.133333333333333,0.216666666666667,0.3,0.4,0.483333333333333,0.583333333333333,0.633333333333333,0.65,0.816666666666667,0.1,0.2,0.216666666666667,0.266666666666667,0.333333333333333,0.35,0.4,0.45,0.466666666666667,0.6,0.666666666666667,0.7,0.75,0.816666666666667,0.85,0.85,0.85,0.916666666666667
IMF,directional,rolling window,ngdp_rpch,1,0.965045477812279,0.278187659461244,0.203924026642973,0.482933791708062,0.05,0.15,0.233333333333333,0.3,0.366666666666667,0.45,0.5,0.7,0.783333333333333,0.133333333333333,0.216666666666667,0.35,0.35,0.433333333333333,0.45,0.45,0.516666666666667,0.566666666666667,0.616666666666667,0.666666666666667,0.683333333333333,0.75,0.8,0.8,0.85,0.916666666666667,0.916666666666667
IMF,directional,rolling window,ngdp_rpch,1.5,1.21392910379551,0.289384704484483,0.30930298594367,0.615241413367353,0.0333333333333333,0.1,0.15,0.25,0.35,0.416666666666667,0.466666666666667,0.516666666666667,0.7,0.166666666666667,0.333333333333333,0.366666666666667,0.383333333333333,0.4,0.45,0.5,0.533333333333333,0.566666666666667,0.6,0.633333333333333,0.65,0.7,0.75,0.8,0.833333333333333,0.85,0.866666666666667
IMF,directional,rolling window,pcpi_pch,0,0.14087751693332,0.0464160560416238,0.0423500757557956,0.0521113851359009,0.0833333333333333,0.166666666666667,0.25,0.35,0.4,0.483333333333333,0.55,0.633333333333333,0.783333333333333,0.1,0.15,0.2,0.233333333333333,0.266666666666667,0.266666666666667,0.3,0.333333333333333,0.383333333333333,0.466666666666667,0.5,0.55,0.616666666666667,0.666666666666667,0.716666666666667,0.75,0.783333333333333,0.883333333333333
IMF,directional,rolling window,pcpi_pch,0.5,0.279064458825575,0.092945716184915,0.133746565318652,0.0523721773220079,0.0666666666666667,0.166666666666667,0.25,0.316666666666667,0.4,0.516666666666667,0.566666666666667,0.666666666666667,0.75,0.0333333333333333,0.0666666666666667,0.0666666666666667,0.1,0.166666666666667,0.216666666666667,0.25,0.283333333333333,0.316666666666667,0.383333333333333,0.45,0.5,0.533333333333333,0.566666666666667,0.616666666666667,0.633333333333333,0.733333333333333,0.783333333333333
IMF,directional,rolling window,pcpi_pch,1,0.606544380737495,0.158486687761123,0.3370455144276,0.111012178548772,0.116666666666667,0.166666666666667,0.233333333333333,0.25,0.316666666666667,0.383333333333333,0.483333333333333,0.533333333333333,0.7,0.0666666666666667,0.116666666666667,0.116666666666667,0.133333333333333,0.15,0.183333333333333,0.2,0.233333333333333,0.25,0.366666666666667,0.4,0.433333333333333,0.433333333333333,0.466666666666667,0.516666666666667,0.6,0.65,0.766666666666667
IMF,directional,rolling window,pcpi_pch,1.5,0.655192093518135,0.18650277835366,0.35233126555992,0.116358049604555,0.0666666666666667,0.15,0.2,0.333333333333333,0.366666666666667,0.416666666666667,0.483333333333333,0.516666666666667,0.6,0.0666666666666667,0.1,0.1,0.1,0.116666666666667,0.116666666666667,0.183333333333333,0.233333333333333,0.266666666666667,0.333333333333333,0.383333333333333,0.383333333333333,0.45,0.483333333333333,0.516666666666667,0.583333333333333,0.616666666666667,0.666666666666667
ar,directional,rolling window,ngdp_rpch,0,0.333962404821185,0.118824545653491,0.113374222411525,0.10176363675617,0.133333333333333,0.233333333333333,0.3,0.316666666666667,0.416666666666667,0.5,0.566666666666667,0.666666666666667,0.816666666666667,0.05,0.15,0.166666666666667,0.216666666666667,0.266666666666667,0.333333333333333,0.35,0.383333333333333,0.416666666666667,0.55,0.616666666666667,0.65,0.65,0.683333333333333,0.716666666666667,0.733333333333333,0.816666666666667,0.866666666666667
ar,directional,rolling window,ngdp_rpch,0.5,0.472459013547906,0.14754932918841,0.112918727515728,0.211990956843768,0.05,0.133333333333333,0.25,0.383333333333333,0.45,0.483333333333333,0.583333333333333,0.616666666666667,0.8,0.0833333333333333,0.233333333333333,0.25,0.316666666666667,0.316666666666667,0.35,0.433333333333333,0.483333333333333,0.516666666666667,0.566666666666667,0.616666666666667,0.683333333333333,0.733333333333333,0.766666666666667,0.8,0.833333333333333,0.85,0.883333333333333
