model,error_method,method,country,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
IMF,absolute,rolling window,CAN,ngdp_rpch,0,0.131234617085652,0.0903084529721249,0.0117019451086183,0.029224219004909,0.0166666666666666,,,0.5,0.833333333333333
IMF,absolute,rolling window,CAN,ngdp_rpch,0.5,0.289569168933516,0.26113863758483,0,0.0284305313486861,0.225,,,0.833333333333333,0.916666666666667
IMF,absolute,rolling window,CAN,ngdp_rpch,1,0.77131420355821,0.489286988480899,0,0.282027215077311,0.183333333333333,,,0.833333333333333,0.833333333333333
IMF,absolute,rolling window,CAN,ngdp_rpch,1.5,0.949659630627194,0.505140268399723,0.0648035589378329,0.379715803289638,0.1,,,0.75,0.75
IMF,absolute,rolling window,CAN,pcpi_pch,0,0.146581452885657,0.0876836096925756,0.0213669747763958,0.0375308684166858,0.1,,,0.75,0.75
IMF,absolute,rolling window,CAN,pcpi_pch,0.5,0.295750116223914,0.164300320628559,0.117238908648443,0.0142108869469129,0.0166666666666666,,,0.5,0.833333333333333
IMF,absolute,rolling window,CAN,pcpi_pch,1,0.338501411849493,0.194246736187664,0.03293591698719,0.111318758674639,0.0166666666666666,,,0.5,0.833333333333333
IMF,absolute,rolling window,CAN,pcpi_pch,1.5,0.410956042071068,0.200169549789535,0.114009867556423,0.0967766247251112,-0.025,,,0.5,0.75
IMF,absolute,rolling window,DEU,ngdp_rpch,0,0.219956021521677,0.101312315488849,0.076823525638167,0.0418201803946607,-0.0666666666666667,,,0.416666666666667,0.75
IMF,absolute,rolling window,DEU,ngdp_rpch,0.5,0.548468852940534,0.200989923297883,0.269784123238451,0.0776948064041993,-0.108333333333333,,,0.416666666666667,0.666666666666667
IMF,absolute,rolling window,DEU,ngdp_rpch,1,1.13157621526558,0.449470268859705,0.206681195840487,0.475424750565389,-0.108333333333333,,,0.416666666666667,0.666666666666667
IMF,absolute,rolling window,DEU,ngdp_rpch,1.5,1.41324777135962,0.526336775497638,0.259683813223433,0.627227182638553,-0.15,,,0.416666666666667,0.583333333333333
IMF,absolute,rolling window,DEU,pcpi_pch,0,0.086689676450428,0.0723886443972747,0.0107750254289825,0.00352600662417083,0.141666666666667,,,0.666666666666667,0.916666666666667
IMF,absolute,rolling window,DEU,pcpi_pch,0.5,0.202113978471839,0.130278900951709,0.0718350775201296,0,0.1,,,0.583333333333333,0.916666666666667
IMF,absolute,rolling window,DEU,pcpi_pch,1,0.387753818989565,0.262498568713865,0.104151912987707,0.0211033372879928,0.0166666666666666,,,0.416666666666667,0.916666666666667
IMF,absolute,rolling window,DEU,pcpi_pch,1.5,0.494652870677591,0.355214037303376,0.114741672378909,0.0246971609953065,-0.191666666666667,,,0.333333333333333,0.583333333333333
IMF,absolute,rolling window,FRA,ngdp_rpch,0,0.161735752939011,0.1078605806483,0.00364683189681209,0.0502283403938982,0.0583333333333333,,,0.583333333333333,0.833333333333333
IMF,absolute,rolling window,FRA,ngdp_rpch,0.5,0.28769967044787,0.182316743071706,0.00468503092117708,0.100697896454987,0.0166666666666666,,,0.5,0.833333333333333
IMF,absolute,rolling window,FRA,ngdp_rpch,1,0.68959441531277,0.350384911637264,0.00226185945598834,0.336947644219518,-0.0666666666666667,,,0.416666666666667,0.75
IMF,absolute,rolling window,FRA,ngdp_rpch,1.5,0.904927241602446,0.314802130774212,0.02094803269168,0.569177078136554,-0.15,,,0.333333333333333,0.666666666666667
IMF,absolute,rolling window,FRA,pcpi_pch,0,0.0872145082697157,0.0583647282055398,0.0169761648904167,0.0118736151737592,0.0166666666666666,,,0.5,0.833333333333333
IMF,absolute,rolling window,FRA,pcpi_pch,0.5,0.183840000614233,0.118493740253225,0.0623450785317263,0.003001181829282,-0.025,,,0.5,0.75
IMF,absolute,rolling window,FRA,pcpi_pch,1,0.404983430688858,0.242983350848029,0.0981976831512866,0.0638023966895433,-0.191666666666667,,,0.416666666666667,0.5
IMF,absolute,rolling window,FRA,pcpi_pch,1.5,0.395110355003405,0.253623646766283,0.0733012064775471,0.0681855017595745,0.0166666666666666,,,0.5,0.833333333333333
IMF,absolute,rolling window,GBR,ngdp_rpch,0,0.180648161895553,0.0839440590246848,0.0453784174056021,0.051325685465266,-0.108333333333333,,,0.416666666666667,0.666666666666667
