model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95
IMF,absolute,rolling window,ngdp_rpch,0,0.296145878559482,0.105943599413652,0.155331199517156,0.0348710796286747,1.26521159546537,2.27219306929156,1.54629074922012,0.202702702702703,0.243243243243243,0.364864864864865,0.418918918918919,0.540540540540541,0.635135135135135,0.689189189189189,0.797297297297297,0.837837837837838,0.0405405405405405,0.0405405405405405,0.0675675675675676,0.108108108108108,0.148648648648649,0.189189189189189,0.216216216216216,0.243243243243243,0.27027027027027,0.472972972972973,0.486486486486487,0.581081081081081,0.608108108108108,0.689189189189189,0.743243243243243,0.756756756756757,0.837837837837838,0.878378378378378
IMF,absolute,rolling window,ngdp_rpch,0.5,0.512637674793175,0.211637299180168,0.17772436824716,0.123276007365847,2.2239123114508,3.90977643744865,2.61559458389111,0.135135135135135,0.216216216216216,0.27027027027027,0.445945945945946,0.594594594594595,0.702702702702703,0.72972972972973,0.783783783783784,0.837837837837838,0.0540540540540541,0.0675675675675676,0.121621621621622,0.148648648648649,0.189189189189189,0.283783783783784,0.391891891891892,0.432432432432432,0.45945945945946,0.594594594594595,0.648648648648649,0.662162162162162,0.72972972972973,0.783783783783784,0.851351351351351,0.851351351351351,0.851351351351351,0.891891891891892
IMF,absolute,rolling window,ngdp_rpch,1,1.18586156834402,0.283610078674712,0.104571241611675,0.797680248057631,5.09175477775039,9.68356989360806,6.45875034810197,0.216216216216216,0.283783783783784,0.364864864864865,0.432432432432432,0.567567567567568,0.635135135135135,0.702702702702703,0.72972972972973,0.837837837837838,0.135135135135135,0.189189189189189,0.202702702702703,0.243243243243243,0.27027027027027,0.351351351351351,0.405405405405405,0.45945945945946,0.5,0.716216216216216,0.743243243243243,0.77027027027027,0.783783783783784,0.837837837837838,0.878378378378378,0.905405405405405,0.918918918918919,0.972972972972973
IMF,absolute,rolling window,ngdp_rpch,1.5,1.27235777852616,0.344991674067226,0.107684859400781,0.819681245058155,5.49008858901409,10.3967373064613,6.8937698483768,0.202702702702703,0.297297297297297,0.472972972972973,0.567567567567568,0.594594594594595,0.648648648648649,0.702702702702703,0.77027027027027,0.851351351351351,0.121621621621622,0.189189189189189,0.22972972972973,0.256756756756757,0.297297297297297,0.324324324324324,0.418918918918919,0.527027027027027,0.594594594594595,0.797297297297297,0.824324324324324,0.891891891891892,0.891891891891892,0.891891891891892,0.905405405405405,0.932432432432432,0.959459459459459,0.972972972972973
IMF,absolute,rolling window,pcpi_pch,0,0.106133753617234,0.047984973775978,0.027971412534344,0.0301773673069124,0.460116741458527,0.740951749119284,0.521778577745657,0.175675675675676,0.27027027027027,0.337837837837838,0.472972972972973,0.581081081081081,0.648648648648649,0.743243243243243,0.810810810810811,0.878378378378378,0.0675675675675676,0.0810810810810811,0.121621621621622,0.175675675675676,0.202702702702703,0.256756756756757,0.364864864864865,0.418918918918919,0.445945945945946,0.621621621621622,0.689189189189189,0.702702702702703,0.72972972972973,0.783783783783784,0.824324324324324,0.864864864864865,0.891891891891892,0.945945945945946
IMF,absolute,rolling window,pcpi_pch,0.5,0.425061985169476,0.122101443790044,0.258813602935339,0.044146938444093,1.80719368174054,3.25721715118824,2.2502144270128,0.148648648648649,0.22972972972973,0.378378378378378,0.45945945945946,0.567567567567568,0.594594594594595,0.689189189189189,0.702702702702703,0.77027027027027,0.0405405405405405,0.0675675675675676,0.0810810810810811,0.175675675675676,0.189189189189189,0.27027027027027,0.27027027027027,0.378378378378378,0.405405405405405,0.554054054054054,0.608108108108108,0.648648648648649,0.72972972972973,0.756756756756757,0.77027027027027,0.77027027027027,0.77027027027027,0.810810810810811
IMF,absolute,rolling window,pcpi_pch,1,0.924650816939788,0.256125381275134,0.499401398786975,0.16912403687768,3.86871811336,6.93488518344411,4.86337015271534,0.0675675675675676,0.135135135135135,0.297297297297297,0.378378378378378,0.432432432432432,0.527027027027027,0.608108108108108,0.716216216216216,0.756756756756757,0.0945945945945946,0.135135135135135,0.216216216216216,0.297297297297297,0.337837837837838,0.364864864864865,0.432432432432432,0.513513513513514,0.554054054054054,0.621621621621622,0.648648648648649,0.72972972972973,0.743243243243243,0.77027027027027,0.824324324324324,0.824324324324324,0.851351351351351,0.851351351351351
IMF,absolute,rolling window,pcpi_pch,1.5,1.11858388456896,0.292500976252392,0.67400900977984,0.152073898536732,4.74121305122757,8.39726431314362,5.89506043527324,0.121621621621622,0.202702702702703,0.27027027027027,0.324324324324324,0.418918918918919,0.445945945945946,0.513513513513514,0.621621621621622,0.72972972972973,0.0540540540540541,0.162162162162162,0.243243243243243,0.297297297297297,0.310810810810811,0.378378378378378,0.405405405405405,0.45945945945946,0.5,0.621621621621622,0.662162162162162,0.675675675675676,0.702702702702703,0.72972972972973,0.743243243243243,0.756756756756757,0.783783783783784,0.783783783783784
ar,absolute,rolling window,ngdp_rpch,0,0.342873934560494,0.160545753166443,0.0102371230834589,0.172091058310592,1.47406142284633,2.35535806378503,1.69252917348789,0.216216216216216,0.324324324324324,0.364864864864865,0.45945945945946,0.567567567567568,0.689189189189189,0.72972972972973,0.824324324324324,0.864864864864865,0.135135135135135,0.162162162162162,0.243243243243243,0.283783783783784,0.391891891891892,0.5,0.567567567567568,0.608108108108108,0.675675675675676,0.891891891891892,0.932432432432432,0.932432432432432,0.959459459459459,0.959459459459459,0.972972972972973,0.972972972972973,0.986486486486486,1
ar,absolute,rolling window,ngdp_rpch,0.5,0.829031984729064,0.27661430574932,0.0416111019944156,0.510806576985328,3.49760204261653,6.16290149646316,4.28542392535949,0.202702702702703,0.283783783783784,0.364864864864865,0.432432432432432,0.540540540540541,0.621621621621622,0.72972972972973,0.77027027027027,0.837837837837838,0.148648648648649,0.216216216216216,0.256756756756757,0.337837837837838,0.418918918918919,0.5,0.567567567567568,0.621621621621622,0.689189189189189,0.891891891891892,0.905405405405405,0.932432432432432,0.932432432432432,0.959459459459459,0.959459459459459,0.986486486486486,0.986486486486486,0.986486486486486
