model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,absolute,rolling window,ngdp_rpch,0.671712062712333,0.314440880495988,0.0640588961027447,0.2932122861136,3.3284772826045,5.11304804773541,4.22076266516996,0.508928571428571,0.720238095238095,0.211309523809524,0.345238095238095,0.854166666666667,0.931547619047619
IMF,absolute,rolling window,pcpi_pch,0.341744092286961,0.168596805281132,0.109750066360457,0.0633972206453727,1.70971028496517,2.56060613332628,2.13515820914573,0.443452380952381,0.711309523809524,0.0892857142857143,0.163690476190476,0.607142857142857,0.800595238095238
ar,absolute,rolling window,ngdp_rpch,0.86949555950465,0.405218218423391,0.0160345538323139,0.448242787248945,4.31229504448415,6.60917357888264,5.4607343116834,0.440476190476191,0.732142857142857,0.24702380952381,0.476190476190476,0.916666666666667,0.979166666666667
ar,absolute,rolling window,pcpi_pch,0.545346798660529,0.380697220876494,0.0230289727092393,0.141620605074796,2.8231816532493,3.84898184008734,3.33608174666832,0.577380952380952,0.770833333333333,0.160714285714286,0.291666666666667,0.869047619047619,0.931547619047619
ar_bic,absolute,rolling window,ngdp_rpch,0.861169840353039,0.361158558846635,0.0528996177454912,0.447111663760913,4.21748651562196,6.6796805180059,5.44858351681393,0.455357142857143,0.723214285714286,0.25,0.449404761904762,0.904761904761905,0.973214285714286
ar_bic,absolute,rolling window,pcpi_pch,0.430990651668597,0.234181240791746,0.0562017855943294,0.140607625282522,2.12869545852335,3.29807438706356,2.71338492279346,0.541666666666667,0.752976190476191,0.136904761904762,0.229166666666667,0.770833333333333,0.889880952380952
bvar,absolute,rolling window,ngdp_rpch,0.78165160912841,0.335140562671339,0.0314024629180761,0.415108583538995,3.84840801127908,6.01201215437049,4.93021008282479,0.443452380952381,0.738095238095238,0.229166666666667,0.452380952380952,0.895833333333333,0.967261904761905
bvar,absolute,rolling window,pcpi_pch,0.449126044264726,0.294272030963077,0.0486013440571134,0.106252669244535,2.28925630029921,3.25938013454648,2.77431821742285,0.5625,0.761904761904762,0.116071428571429,0.223214285714286,0.785714285714286,0.877976190476191
bvar_const,absolute,rolling window,ngdp_rpch,0.8119391765146,0.358429014005269,0.0274580729008118,0.42605208960852,4.01528290134602,6.20057627692695,5.10792958913649,0.449404761904762,0.735119047619048,0.244047619047619,0.458333333333333,0.907738095238095,0.979166666666667
bvar_const,absolute,rolling window,pcpi_pch,0.527813028591214,0.358032891285443,0.0361262328104029,0.133653904495367,2.71317148672711,3.77333185500649,3.2432516708668,0.571428571428571,0.75,0.160714285714286,0.267857142857143,0.839285714285714,0.910714285714286
mean_ensemble,absolute,rolling window,ngdp_rpch,0.744593983209948,0.359362704308216,0.0196027658091476,0.365628513092584,3.6747956093288,5.70489064087695,4.68984312510288,0.523809523809524,0.773809523809524,0.208333333333333,0.407738095238095,0.931547619047619,0.982142857142857
mean_ensemble,absolute,rolling window,pcpi_pch,0.418223106021224,0.302442305814356,0.0208504038324232,0.0949303963744442,2.14053609115776,3.01312189253008,2.57682899184392,0.690476190476191,0.839285714285714,0.107142857142857,0.175595238095238,0.866071428571429,0.946428571428571
