model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95
IMF,absolute,rolling window,ngdp_rpch,0.759206219662692,0.29012491405643,0.0951161217939163,0.373965183812346,1.57834910851012,2.66024717153524,1.75830037640647,0.175595238095238,0.235119047619048,0.348214285714286,0.4375,0.514880952380952,0.580357142857143,0.675595238095238,0.735119047619048,0.8125,0.145833333333333,0.196428571428571,0.241071428571429,0.30952380952381,0.342261904761905,0.386904761904762,0.443452380952381,0.505952380952381,0.547619047619048,0.723214285714286,0.741071428571429,0.791666666666667,0.824404761904762,0.857142857142857,0.889880952380952,0.916666666666667,0.931547619047619,0.958333333333333
IMF,absolute,rolling window,pcpi_pch,0.399599782515353,0.152733755217162,0.164968007084162,0.0818980202140288,0.86401188303729,1.36979650225131,0.919330868235395,0.18452380952381,0.25,0.321428571428571,0.37797619047619,0.446428571428571,0.532738095238095,0.619047619047619,0.696428571428571,0.776785714285714,0.0773809523809524,0.0892857142857143,0.107142857142857,0.139880952380952,0.160714285714286,0.181547619047619,0.205357142857143,0.229166666666667,0.255952380952381,0.440476190476191,0.479166666666667,0.526785714285714,0.55952380952381,0.607142857142857,0.672619047619048,0.726190476190476,0.785714285714286,0.854166666666667
ar,absolute,rolling window,ngdp_rpch,1.00840617457251,0.398615712887665,0.0301843429460605,0.579606118738783,2.1002967055263,3.2604044408904,2.27306854726225,0.142857142857143,0.220238095238095,0.297619047619048,0.357142857142857,0.446428571428571,0.529761904761905,0.62202380952381,0.729166666666667,0.794642857142857,0.199404761904762,0.25,0.339285714285714,0.419642857142857,0.476190476190476,0.538690476190476,0.589285714285714,0.630952380952381,0.663690476190476,0.806547619047619,0.851190476190476,0.886904761904762,0.895833333333333,0.922619047619048,0.949404761904762,0.961309523809524,0.979166666666667,0.994047619047619
ar,absolute,rolling window,pcpi_pch,0.657325256148917,0.42869197311328,0.0348751890273759,0.193758094008262,2.01898791722893,2.712512824789,2.09417102171396,0.226190476190476,0.336309523809524,0.422619047619048,0.5,0.580357142857143,0.642857142857143,0.717261904761905,0.770833333333333,0.839285714285714,0.116071428571429,0.160714285714286,0.196428571428571,0.25,0.291666666666667,0.357142857142857,0.413690476190476,0.479166666666667,0.568452380952381,0.794642857142857,0.815476190476191,0.836309523809524,0.857142857142857,0.87202380952381,0.892857142857143,0.913690476190476,0.931547619047619,0.955357142857143
ar_bic,absolute,rolling window,ngdp_rpch,0.98934287480985,0.339539163100335,0.0728535694166381,0.576950142292877,1.85805756187863,3.01456805236826,2.04124233603348,0.136904761904762,0.220238095238095,0.300595238095238,0.380952380952381,0.467261904761905,0.541666666666667,0.636904761904762,0.726190476190476,0.791666666666667,0.196428571428571,0.24702380952381,0.318452380952381,0.395833333333333,0.446428571428571,0.5,0.5625,0.610119047619048,0.648809523809524,0.785714285714286,0.830357142857143,0.863095238095238,0.880952380952381,0.913690476190476,0.9375,0.955357142857143,0.973214285714286,0.988095238095238
ar_bic,absolute,rolling window,pcpi_pch,0.491046446241062,0.232791381463769,0.0817171404349574,0.176537924342335,1.20450105861964,1.84290339330967,1.29394270202547,0.208333333333333,0.321428571428571,0.407738095238095,0.485119047619048,0.544642857142857,0.627976190476191,0.690476190476191,0.755952380952381,0.830357142857143,0.101190476190476,0.133928571428571,0.166666666666667,0.19047619047619,0.223214285714286,0.24702380952381,0.297619047619048,0.342261904761905,0.413690476190476,0.62202380952381,0.663690476190476,0.705357142857143,0.732142857142857,0.767857142857143,0.818452380952381,0.857142857142857,0.889880952380952,0.931547619047619
bvar,absolute,rolling window,ngdp_rpch,0.887895552139303,0.311013886774078,0.052851277730679,0.524030387634547,1.71077459653539,2.81744894378914,1.88651959344727,0.163690476190476,0.211309523809524,0.288690476190476,0.386904761904762,0.470238095238095,0.568452380952381,0.654761904761905,0.735119047619048,0.818452380952381,0.166666666666667,0.232142857142857,0.291666666666667,0.360119047619048,0.4375,0.485119047619048,0.5625,0.589285714285714,0.613095238095238,0.776785714285714,0.800595238095238,0.851190476190476,0.87202380952381,0.907738095238095,0.928571428571429,0.946428571428571,0.967261904761905,0.985119047619048
bvar,absolute,rolling window,pcpi_pch,0.52570591603923,0.30497908327665,0.0705596721337804,0.150167160628799,1.51436466218861,2.24052240840273,1.60240626545727,0.223214285714286,0.351190476190476,0.419642857142857,0.502976190476191,0.5625,0.645833333333333,0.705357142857143,0.764880952380952,0.845238095238095,0.0863095238095238,0.116071428571429,0.151785714285714,0.178571428571429,0.226190476190476,0.270833333333333,0.324404761904762,0.366071428571429,0.458333333333333,0.681547619047619,0.717261904761905,0.744047619047619,0.773809523809524,0.788690476190476,0.824404761904762,0.857142857142857,0.880952380952381,0.931547619047619
bvar_const,absolute,rolling window,ngdp_rpch,0.933158453859286,0.335726349534979,0.0482729324994586,0.549159171824849,1.83761066532113,2.97591883032008,2.01100124942198,0.136904761904762,0.208333333333333,0.303571428571429,0.380952380952381,0.464285714285714,0.547619047619048,0.625,0.735119047619048,0.8125,0.172619047619048,0.241071428571429,0.318452380952381,0.386904761904762,0.452380952380952,0.508928571428571,0.568452380952381,0.616071428571429,0.648809523809524,0.785714285714286,0.824404761904762,0.87202380952381,0.889880952380952,0.916666666666667,0.934523809523809,0.943452380952381,0.976190476190476,0.985119047619048
bvar_const,absolute,rolling window,pcpi_pch,0.630689917916267,0.392828682613198,0.0517561169371232,0.186105118365946,1.87576334758811,2.62244262367921,1.96627740055203,0.205357142857143,0.324404761904762,0.413690476190476,0.502976190476191,0.571428571428571,0.636904761904762,0.6875,0.75,0.824404761904762,0.110119047619048,0.160714285714286,0.193452380952381,0.223214285714286,0.267857142857143,0.318452380952381,0.380952380952381,0.440476190476191,0.535714285714286,0.741071428571429,0.764880952380952,0.794642857142857,0.821428571428571,0.839285714285714,0.860119047619048,0.880952380952381,0.910714285714286,0.934523809523809
