target,horizon,method,error_method,source,score
ngdp_rpch,0,rolling window,absolute,IMF,0.252616389097099
ngdp_rpch,0.5,rolling window,absolute,IMF,0.471042147880786
ngdp_rpch,1,rolling window,absolute,IMF,0.994822567253173
ngdp_rpch,1.5,rolling window,absolute,IMF,1.26770351859326
pcpi_pch,0,rolling window,absolute,IMF,0.133155023239243
pcpi_pch,0.5,rolling window,absolute,IMF,0.291717251409174
pcpi_pch,1,rolling window,absolute,IMF,0.548668967058036
pcpi_pch,1.5,rolling window,absolute,IMF,0.599002172211768
ngdp_rpch,0,rolling window,absolute,ar,0.341483623037986
ngdp_rpch,0.5,rolling window,absolute,ar,0.645579997776117
ngdp_rpch,1,rolling window,absolute,ar,1.37009087260311
ngdp_rpch,1.5,rolling window,absolute,ar,1.62132384574006
pcpi_pch,0,rolling window,absolute,ar,0.137674029369043
pcpi_pch,0.5,rolling window,absolute,ar,0.309090961346364
pcpi_pch,1,rolling window,absolute,ar,0.899777083600993
pcpi_pch,1.5,rolling window,absolute,ar,1.24847437956902
ngdp_rpch,0,rolling window,absolute,bvar,0.344455971898551
ngdp_rpch,0.5,rolling window,absolute,bvar,0.589712597607501
ngdp_rpch,1,rolling window,absolute,bvar,1.17809536743139
ngdp_rpch,1.5,rolling window,absolute,bvar,1.38687341215135
pcpi_pch,0,rolling window,absolute,bvar,0.133574950165728
pcpi_pch,0.5,rolling window,absolute,bvar,0.326726665018246
pcpi_pch,1,rolling window,absolute,bvar,0.691090390953894
pcpi_pch,1.5,rolling window,absolute,bvar,0.916552015171156
